Time (s), Altitude (m), Velocity (m/s), Acceleration (m/s^2), Air temperature (°C), Air pressure (mbar)
0.00,307.00,0.00,307.00,16.00,0.00
0.13,158.00,0.13,158.00,23.00,0.13
0.26,44.00,0.26,44.00,15.00,0.26
0.36,209.00,0.36,209.00,21.00,0.36
0.47,492.00,0.47,492.00,20.00,0.47
0.58,3.00,0.58,3.00,16.00,0.58
0.70,340.00,0.70,340.00,19.00,0.70
0.83,169.00,0.83,169.00,16.00,0.83
0.93,60.00,0.93,60.00,24.00,0.93
1.06,278.00,1.06,278.00,20.00,1.06
1.16,97.00,1.16,97.00,20.00,1.16
1.29,267.00,1.29,267.00,21.00,1.29
1.44,479.00,1.44,479.00,23.00,1.44
1.57,321.00,1.57,321.00,22.00,1.57
1.69,393.00,1.69,393.00,16.00,1.69
1.81,245.00,1.81,245.00,19.00,1.81
1.95,194.00,1.95,194.00,23.00,1.95
2.06,153.00,2.06,153.00,23.00,2.06
2.18,168.00,2.18,168.00,16.00,2.18
2.31,196.00,2.31,196.00,19.00,2.31
2.42,222.00,2.42,222.00,23.00,2.42
2.54,24.00,2.54,24.00,25.00,2.54
2.66,477.00,2.66,477.00,23.00,2.66
2.80,433.00,2.80,433.00,17.00,2.80
2.92,135.00,2.92,135.00,20.00,2.92
3.05,314.00,3.05,314.00,17.00,3.05
3.18,425.00,3.18,425.00,16.00,3.18
3.33,94.00,3.33,94.00,20.00,3.33
3.47,17.00,3.47,17.00,22.00,3.47
3.60,404.00,3.59,404.00,16.00,3.59
3.74,188.00,3.74,188.00,18.00,3.74
3.86,382.00,3.86,382.00,24.00,3.86
3.98,216.00,3.98,216.00,16.00,3.98
4.13,144.00,4.12,144.00,15.00,4.12
4.26,371.00,4.26,371.00,17.00,4.26
4.42,358.00,4.41,358.00,24.00,4.41
4.54,294.00,4.54,294.00,16.00,4.54
4.68,231.00,4.68,231.00,23.00,4.68
4.79,135.00,4.79,135.00,18.00,4.79
4.94,399.00,4.94,399.00,18.00,4.94
5.09,260.00,5.08,260.00,15.00,5.08
5.20,8.00,5.19,8.00,15.00,5.19
5.31,113.00,5.31,113.00,20.00,5.31
5.45,462.00,5.45,462.00,18.00,5.45
5.57,82.00,5.57,82.00,17.00,5.57
5.68,321.00,5.68,321.00,25.00,5.68
5.81,171.00,5.80,171.00,24.00,5.80
5.92,331.00,5.91,331.00,16.00,5.91
6.05,116.00,6.04,116.00,16.00,6.04
6.16,179.00,6.16,179.00,25.00,6.16
6.31,472.00,6.30,472.00,19.00,6.30
6.46,319.00,6.45,319.00,21.00,6.45
6.61,289.00,6.60,289.00,22.00,6.60
6.72,126.00,6.71,126.00,16.00,6.71
6.82,313.00,6.82,313.00,19.00,6.82
6.94,94.00,6.94,94.00,23.00,6.94
7.08,366.00,7.07,366.00,25.00,7.07
7.20,394.00,7.20,394.00,19.00,7.20
7.34,344.00,7.33,344.00,16.00,7.33
7.49,159.00,7.48,159.00,15.00,7.48
7.62,385.00,7.62,385.00,16.00,7.62
7.76,39.00,7.75,39.00,19.00,7.75
7.87,496.00,7.86,496.00,21.00,7.86
8.00,420.00,7.99,420.00,21.00,7.99
8.14,235.00,8.13,235.00,17.00,8.13
8.27,34.00,8.26,34.00,19.00,8.26
8.41,179.00,8.40,179.00,22.00,8.40
8.52,295.00,8.51,295.00,17.00,8.51
8.65,192.00,8.64,192.00,17.00,8.64
8.77,33.00,8.76,33.00,25.00,8.76
8.91,53.00,8.90,53.00,21.00,8.90
9.06,210.00,9.05,210.00,21.00,9.05
9.21,308.00,9.19,308.00,19.00,9.19
9.36,125.00,9.35,125.00,19.00,9.35
9.48,495.00,9.47,495.00,16.00,9.47
9.59,439.00,9.58,439.00,19.00,9.58
9.69,56.00,9.68,56.00,24.00,9.68
9.81,60.00,9.80,60.00,24.00,9.80
9.94,255.00,9.92,255.00,23.00,9.92
10.05,15.00,10.03,15.00,20.00,10.03
10.19,180.00,10.17,180.00,22.00,10.17
10.33,6.00,10.32,6.00,19.00,10.32
10.46,176.00,10.44,176.00,18.00,10.44
10.57,331.00,10.55,331.00,22.00,10.55
10.68,308.00,10.66,308.00,17.00,10.66
10.83,349.00,10.80,349.00,15.00,10.80
10.95,31.00,10.93,31.00,21.00,10.93
11.07,275.00,11.05,275.00,20.00,11.05
11.20,429.00,11.18,429.00,22.00,11.18
11.34,260.00,11.31,260.00,25.00,11.31
11.48,317.00,11.45,317.00,21.00,11.45
11.58,256.00,11.56,256.00,16.00,11.56
11.71,148.00,11.68,148.00,19.00,11.68
11.82,150.00,11.79,150.00,19.00,11.79
11.93,54.00,11.91,54.00,21.00,11.91
12.06,381.00,12.03,381.00,21.00,12.03
12.20,378.00,12.17,378.00,15.00,12.17
12.35,129.00,12.32,129.00,21.00,12.32
12.46,447.00,12.43,447.00,15.00,12.43
12.57,322.00,12.54,322.00,17.00,12.54
12.69,53.00,12.66,53.00,15.00,12.66
12.82,366.00,12.78,366.00,23.00,12.78
12.93,370.00,12.89,370.00,18.00,12.89
13.08,398.00,13.04,398.00,22.00,13.04
13.20,57.00,13.16,57.00,24.00,13.16
13.30,266.00,13.26,266.00,19.00,13.26
13.43,378.00,13.39,378.00,22.00,13.39
13.54,237.00,13.50,237.00,25.00,13.50
13.69,220.00,13.64,220.00,16.00,13.64
13.83,197.00,13.78,197.00,21.00,13.78
13.94,89.00,13.89,89.00,23.00,13.89
14.09,304.00,14.04,304.00,19.00,14.04
14.21,254.00,14.16,254.00,19.00,14.16
14.31,447.00,14.26,447.00,16.00,14.26
14.44,455.00,14.39,455.00,21.00,14.39
14.56,238.00,14.51,238.00,15.00,14.51
14.66,35.00,14.61,35.00,19.00,14.61
14.79,114.00,14.74,114.00,24.00,14.74
14.94,354.00,14.89,354.00,18.00,14.89
15.07,85.00,15.01,85.00,21.00,15.01
15.21,63.00,15.15,63.00,21.00,15.15
15.35,143.00,15.29,143.00,17.00,15.29
15.49,247.00,15.43,247.00,21.00,15.43
15.62,303.00,15.55,303.00,23.00,15.55
15.73,248.00,15.67,248.00,23.00,15.67
15.86,459.00,15.79,459.00,15.00,15.79
15.99,324.00,15.93,324.00,24.00,15.93
16.14,103.00,16.07,103.00,23.00,16.07
16.25,450.00,16.18,450.00,21.00,16.18
16.39,203.00,16.32,203.00,18.00,16.32
16.52,33.00,16.45,33.00,20.00,16.45
16.65,176.00,16.58,176.00,25.00,16.58
16.78,280.00,16.70,280.00,23.00,16.70
16.91,74.00,16.83,74.00,24.00,16.83
17.05,249.00,16.97,249.00,22.00,16.97
17.19,379.00,17.11,379.00,20.00,17.11
17.30,40.00,17.22,40.00,24.00,17.22
17.43,471.00,17.34,471.00,15.00,17.34
17.53,246.00,17.44,246.00,19.00,17.44
17.67,121.00,17.58,121.00,18.00,17.58
17.80,244.00,17.71,244.00,20.00,17.71
17.92,271.00,17.82,271.00,21.00,17.82
18.06,98.00,17.96,98.00,16.00,17.96
18.20,3.00,18.10,3.00,18.00,18.10
18.34,205.00,18.24,205.00,18.00,18.24
18.49,274.00,18.39,274.00,17.00,18.39
18.60,320.00,18.49,320.00,22.00,18.49
18.73,283.00,18.62,283.00,21.00,18.62
18.84,8.00,18.72,8.00,21.00,18.72
18.94,195.00,18.83,195.00,25.00,18.83
19.09,190.00,18.97,190.00,18.00,18.97
19.20,93.00,19.08,93.00,19.00,19.08
19.32,460.00,19.20,460.00,18.00,19.20
19.43,352.00,19.31,352.00,15.00,19.31
19.54,410.00,19.42,410.00,16.00,19.42
19.66,127.00,19.53,127.00,16.00,19.53
19.78,414.00,19.66,414.00,25.00,19.66
19.90,17.00,19.77,17.00,24.00,19.77
20.03,315.00,19.90,315.00,15.00,19.90
20.17,373.00,20.04,373.00,24.00,20.04
20.29,239.00,20.15,239.00,22.00,20.15
20.40,429.00,20.26,429.00,23.00,20.26
20.51,166.00,20.37,166.00,22.00,20.37
20.65,360.00,20.51,360.00,21.00,20.51
20.80,220.00,20.65,220.00,24.00,20.65
20.94,367.00,20.79,367.00,20.00,20.79
21.07,198.00,20.91,198.00,19.00,20.91
21.17,116.00,21.02,116.00,16.00,21.02
21.31,228.00,21.15,228.00,23.00,21.15
21.43,45.00,21.27,45.00,22.00,21.27
21.58,158.00,21.41,158.00,18.00,21.41
21.70,350.00,21.53,350.00,20.00,21.53
21.81,94.00,21.63,94.00,21.00,21.63
21.94,327.00,21.76,327.00,18.00,21.76
22.08,442.00,21.90,442.00,23.00,21.90
22.21,15.00,22.03,15.00,25.00,22.03
22.34,97.00,22.15,97.00,25.00,22.15
22.47,324.00,22.29,324.00,19.00,22.29
22.60,281.00,22.41,281.00,16.00,22.41
22.74,216.00,22.55,216.00,22.00,22.55
22.86,281.00,22.66,281.00,23.00,22.66
22.98,169.00,22.78,169.00,19.00,22.78
23.10,36.00,22.89,36.00,23.00,22.89
23.25,384.00,23.04,384.00,23.00,23.04
23.38,476.00,23.17,476.00,25.00,23.17
23.52,166.00,23.30,166.00,18.00,23.30
23.63,384.00,23.41,384.00,15.00,23.41
23.78,258.00,23.55,258.00,20.00,23.55
23.89,18.00,23.66,18.00,17.00,23.66
24.00,325.00,23.77,325.00,24.00,23.77
24.12,318.00,23.89,318.00,21.00,23.89
24.25,418.00,24.01,418.00,17.00,24.01
24.38,34.00,24.14,34.00,24.00,24.14
24.52,254.00,24.28,254.00,24.00,24.28
24.66,435.00,24.41,435.00,21.00,24.41
24.78,365.00,24.53,365.00,20.00,24.53
24.92,64.00,24.66,64.00,22.00,24.66
25.03,175.00,24.77,175.00,15.00,24.77
25.18,415.00,24.91,415.00,16.00,24.91
25.33,247.00,25.06,247.00,24.00,25.06
25.46,447.00,25.19,447.00,23.00,25.19
25.58,79.00,25.30,79.00,17.00,25.30
25.73,479.00,25.45,479.00,18.00,25.45
25.87,289.00,25.58,289.00,20.00,25.58
26.02,300.00,25.73,300.00,17.00,25.73
26.15,217.00,25.86,217.00,15.00,25.86
26.30,43.00,26.00,43.00,21.00,26.00
26.41,321.00,26.11,321.00,24.00,26.11
26.56,247.00,26.25,247.00,15.00,26.25
